Category,Case Type,Image Name,Annotation Name (YOLOv5),Annotation Name (Faster R-CNN),Reference
insulting_gesture,Normal,img_hod_001447.jpg,img_hod_001447.txt,img_hod_001447.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001517.jpg,img_hod_001517.txt,img_hod_001517.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001526.jpg,img_hod_001526.txt,img_hod_001526.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009687.jpg,img_hod_009687.txt,img_hod_009687.xml,https://www.freepik.com
insulting_gesture,Normal,img_hod_001514.jpg,img_hod_001514.txt,img_hod_001514.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001779.jpg,img_hod_001779.txt,img_hod_001779.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001743.jpg,img_hod_001743.txt,img_hod_001743.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001801.jpg,img_hod_001801.txt,img_hod_001801.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001931.jpg,img_hod_001931.txt,img_hod_001931.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001961.jpg,img_hod_001961.txt,img_hod_001961.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001474.jpg,img_hod_001474.txt,img_hod_001474.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001586.jpg,img_hod_001586.txt,img_hod_001586.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001808.jpg,img_hod_001808.txt,img_hod_001808.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001509.jpg,img_hod_001509.txt,img_hod_001509.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009635.jpg,img_hod_009635.txt,img_hod_009635.xml,https://www.freepik.com
insulting_gesture,Normal,img_hod_001504.jpg,img_hod_001504.txt,img_hod_001504.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001583.jpg,img_hod_001583.txt,img_hod_001583.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009727.jpg,img_hod_009727.txt,img_hod_009727.xml,https://www.freepik.com
insulting_gesture,Normal,img_hod_001916.jpg,img_hod_001916.txt,img_hod_001916.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001608.jpg,img_hod_001608.txt,img_hod_001608.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_010206.jpg,img_hod_010206.txt,img_hod_010206.xml,https://unsplash.com
insulting_gesture,Normal,img_hod_001857.jpg,img_hod_001857.txt,img_hod_001857.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001613.jpg,img_hod_001613.txt,img_hod_001613.xml,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001741.jpg,img_hod_001741.txt,img_hod_001741.xml,https://www.istockphoto.com
